Film Name
12 Years a Slave
20 Feet From Stardom
Alambrista!
Apollo 13
Bamboozled
Bohulano Family Film Collection
Cruisin' J Town
Desperately Seeking Susan
Dinner at Eight
Edge of the City
Fame
Helen Keller in her Story
Home Alone
Lady and the Tramp
The Lighted Field
Love & Basketball
Matewan
Maya Lin: A Strong Clear Vision
Movie Trip Through Filmland
The Nightmare Before Christmas
Passing Through
Queen of Diamonds
Terminator 2: Judgment Day
The Wedding Banquet
We're Alive
Attica
The Ballad of Gregorio Cortez
Behind Every Good Man
Betty Tells Her Story
Bush Mama
Cab Calloway Home Movies
Carrie
Charade
Cyrano de Bergerac
Hairspray
House Party
Iron Man
"Itam Hakim, Hopiit"
The Little Mermaid
Manzanar
Mardi Gras Carnival
Mingus
Pariah
Scorpio Rising
Super Fly
Titicut Follies
Tongues Untied
Union Maids
When Harry Met Sally
Word is Out: Stories of Our Lives
Chicana
Cooley High
Evergreen
Flowers and Trees
The Flying Ace
Hell-Bound Train
Jubilo
The Long Goodbye
The Lord of the Rings: Fellowship of the Ring
The Murder of Fred Hampton
A Nightmare on Elm Street
Pink Flamingos
Requiem 29
Return of the Jedi
Richard Pryor: Live in Concert
Ringling Bros. Parade Film
Selena
Sounder
Stop Making Sense
Strangers on a Train
Wall-E
The Watermelon Woman
What Ever Happened to Baby Jane
Who Killed Vincent Chin
The Wobblies
The Battle of the Century
The Blues Brothers
Bread
Buena Vista Social Club
Cabin in the Sky
A Clockwork Orange
The Dark Knight
The Devil Never Sleeps
Freedom Riders
Grease
The Ground
The Hurt Locker
Illusions
The Joy Luck Club
Kid Auto Races at Venice
Lilies of the Field
Losing Ground
The Man with the Golden Arm
Mauna Kea: Temple Under Siege
Outrage
Shrek
Suspense
Sweet Sweetback’s Baadasssss Song
Wattstax
With Car and Camera Around the World
Amadeus
Becky Sharp
Before Stonewall
Body and Soul
Boys Don't Cry
Clerks
Coal Miner's Daughter
Emigrants Landing at Ellis Island
Employees Entrance
Fog of War
Gaslight
George Washington Carver at Tuskegee Institute
Girlfriends
I am Somebody
"Last Waltz, The"
My Name Is Oona
A New Leaf
Old Yeller
"Phenix City Story, The"
Platoon
Purple Rain
Real Women Have Curves
She's Gotta Have it
Sleeping Beauty
Zoot Suit
Bad Day at Black Rock
Broadcast News
Brokeback Mountain
Cinderella
Days of Wine and Roses
Dixon-Wanamaker Expedition to Crow Agency
Eve's Bayou
The Girl Without a Soul
Hair Piece: A Film for Nappy Headed People
Hearts and Minds
Hud
The Informer
Jurassic Park
The Lady from Shanghai
Leave Her to Heaven
Monterey Pop
My Fair Lady
The Navigator
On the Town
One-Eyed Jacks
Pickup on South Street
Rebecca
The Shining
Smoke Signals
Something Good – Negro Kiss
Ace in the Hole (aka Big Carnival)
Boulevard Nights
Die Hard
Dumbo
Field of Dreams
4 Little Girls
Fuentes Family Home Movies Collection
Gentleman’s Agreement
The Goonies
Guess Who’s Coming to Dinner
He Who Gets Slapped
"Interior New York Subway, 14th Street to 42nd Street"
La Bamba
Lives of Performers
Memento
Only Angels Have Wings
The Sinking of the Lusitania
Spartacus
Superman
"Thelonious Monk: Straight, No Chaser"
Time and Dreams
Titanic
To Sleep with Anger
Wanda
With the Abraham Lincoln Brigade in Spain
The Atomic Café
Ball of Fire
The Beau Brummels
The Birds
Blackboard Jungle
The Breakfast Club
The Decline of Western Civilization
East of Eden
Funny Girl
Life of an American Fireman
The Lion King
Lost Horizon
Musketeers of Pig Alley
Paris Is Burning
Point Blank
The Princess Bride
Putney Swope
Reverend Solomon Sir Jones films
Rushmore
"Steamboat Bill, Jr."
"Suzanne, Suzanne"
Thelma & Louise
"20,000 Leagues Under the Sea"
A Walk in the Sun
Who Framed Roger Rabbit?
3:10 to Yuma
The 7th Voyage of Sinbad
12 Angry Men
13 Lakes
42nd Street
2001: A Space Odyssey
Abbott and Costello Meet Frankenstein
Adam’s Rib
The Adventures of Robin Hood
The African Queen
Airplane!
Alien
All About Eve
All My Babies
All Quiet on the Western Front
All That Heaven Allows
All That Jazz
All the King’s Men
All the President’s Men
Allures
"America, America"
American Graffiti
An American in Paris
Anatomy of a Murder
Annie Hall
Antonia: A Portrait of the Woman
The Apartment
Apocalypse Now
Applause
The Asphalt Jungle
Atlantic City
The Augustas
The Awful Truth
Baby Face
Back to the Future
The Bad and the Beautiful
Badlands
Bambi
The Band Wagon
The Bank Dick
The Bargain
The Battle of San Pietro
Beauty and the Beast
Being There
Ben-Hur (1925)
Ben-Hur (1959)
Bert Williams Lime Kiln Club Field Day
The Best Years of Our Lives
Big Business
The Big Heat
The Big Lebowski
The Big Parade
The Big Sleep
The Big Trail
The Birth of a Nation
Black and Tan
The Black Pirate
The Black Stallion
Blacksmith Scene
Blade Runner
Blazing Saddles
Bless Their Little Hearts
The Blood of Jesus
The Blue Bird
Bonnie and Clyde
Born Yesterday
